Date,CloseBTC,CloseETH,index,CloseBTCNorm,CloseETHNorm
2015-08-06,277.890015,3,1,0.02,0.006
2015-08-07,258.600006,1.2,2,0.02,0.003
2015-08-08,263.869995,1.2,3,0.02,0.003
2015-08-09,263.299988,1.2,4,0.02,0.003
2015-08-10,269.029999,0.99,5,0.02,0.002
2015-08-11,267.660004,1.29,6,0.02,0.003
2015-08-12,263.440002,1.88,7,0.02,0.004
2015-08-13,265.029999,1.79,8,0.02,0.004
2015-08-14,260.519989,1.79,9,0.02,0.004
2015-08-15,257.119995,1.37,10,0.02,0.003
2015-08-16,257.130005,1.3,11,0.02,0.003
2015-08-17,246.720001,1.36,12,0.01,0.003
2015-08-18,226,1.24,13,0.01,0.003
2015-08-19,234.660004,1.52,14,0.01,0.003
2015-08-20,232.399994,1.44,15,0.01,0.003
2015-08-21,229.539993,1.4,16,0.01,0.003
2015-08-22,226.75,1.35,17,0.01,0.003
2015-08-23,211.429993,1.24,18,0.01,0.003
2015-08-24,220.509995,1.27,19,0.01,0.003
2015-08-25,224.970001,1.18,20,0.01,0.002
2015-08-26,222.729996,1.14,21,0.01,0.002
2015-08-27,231.639999,1.3,22,0.01,0.003
2015-08-28,228.5,1.18,23,0.01,0.002
2015-08-29,228.399994,1.32,24,0.01,0.003
2015-08-30,229.470001,1.31,25,0.01,0.003
2015-08-31,227.179993,1.36,26,0.01,0.003
2015-09-01,228.630005,1.14,27,0.01,0.002
2015-09-02,226.199997,1.23,28,0.01,0.003
2015-09-03,230.25,1.35,29,0.01,0.003
2015-09-04,233.669998,1.37,30,0.01,0.003
2015-09-05,239.860001,1.34,31,0.01,0.003
2015-09-06,239.580002,1.28,32,0.01,0.003
2015-09-07,243.240005,1.26,33,0.01,0.003
2015-09-08,237.410004,1.21,34,0.01,0.003
2015-09-09,238.080002,1.19,35,0.01,0.003
2015-09-10,239.899994,0.9242,36,0.01,0.002
2015-09-11,235.600006,1.15,37,0.01,0.002
2015-09-12,230.190002,0.8856,38,0.01,0.002
2015-09-13,229.910004,0.955,39,0.01,0.002
2015-09-14,229.529999,0.95,40,0.01,0.002
2015-09-15,228.600006,0.9363,41,0.01,0.002
2015-09-16,232.720001,0.875,42,0.01,0.002
2015-09-17,232.210007,0.8523,43,0.01,0.002
2015-09-18,231.110001,0.89,44,0.01,0.002
2015-09-19,231.089996,0.8871,45,0.01,0.002
2015-09-20,226.330002,0.9412,46,0.01,0.002
2015-09-21,230.009995,0.8059,47,0.01,0.002
2015-09-22,229.889999,0.91,48,0.01,0.002
2015-09-23,233.759995,0.8,49,0.01,0.002
2015-09-24,235.029999,0.6823,50,0.01,0.001
2015-09-25,234.300003,0.7703,51,0.01,0.002
2015-09-26,232.5,0.7008,52,0.01,0.001
2015-09-27,238.869995,0.6,53,0.01,0.001
2015-09-28,236.710007,0.6816,54,0.01,0.001
2015-09-29,235.929993,0.7137,55,0.01,0.002
2015-09-30,237.050003,0.6548,56,0.01,0.001
2015-10-01,236.710007,0.6647,57,0.01,0.001
2015-10-02,238.580002,0.6796,58,0.01,0.001
2015-10-17,261.670013,0.505,59,0.02,0.001
2015-10-18,263.820007,0.5,60,0.02,0.001
2015-10-19,269.75,0.44,61,0.02,0.001
2015-10-20,267.109985,0.42,62,0.02,0.001
2015-10-21,274.420013,0.609,63,0.02,0.001
2015-10-22,276.920013,0.5649,64,0.02,0.001
2015-10-23,282.559998,0.5561,65,0.02,0.001
2015-10-24,287.859985,0.62,66,0.02,0.001
2015-10-26,285.149994,0.706,67,0.02,0.001
2015-12-15,462.649994,1,68,0.03,0.002
2015-12-16,453.980011,0.803,69,0.03,0.002
2015-12-17,455.529999,0.94,70,0.03,0.002
2015-12-18,463.179993,0.9,71,0.03,0.002
2015-12-19,461.200012,0.8935,72,0.03,0.002
2015-12-20,441.779999,1.07,73,0.03,0.002
2015-12-21,437.589996,0.91,74,0.03,0.002
2015-12-22,437.029999,0.88,75,0.03,0.002
2015-12-23,442.429993,0.8709,76,0.03,0.002
2015-12-24,452.980011,0.87,77,0.03,0.002
2015-12-25,454.049988,0.88,78,0.03,0.002
2015-12-26,415.369995,0.853,79,0.02,0.002
2015-12-27,422.390015,0.918,80,0.03,0.002
2015-12-28,421.76001,0.8749,81,0.03,0.002
2015-12-29,431.920013,0.86,82,0.03,0.002
2015-12-30,427.149994,0.8925,83,0.03,0.002
2015-12-31,429.950012,0.9488,84,0.03,0.002
2016-01-01,433.98999,0.92,85,0.03,0.002
2016-01-02,433.720001,0.9547,86,0.03,0.002
2016-01-03,430.700012,0.96,87,0.03,0.002
2016-01-04,433.320007,0.95,88,0.03,0.002
2016-01-05,431.200012,0.9426,89,0.03,0.002
2016-01-06,430.820007,0.95,90,0.03,0.002
2016-01-07,457.049988,0.94,91,0.03,0.002
2016-01-08,452.869995,0.985,92,0.03,0.002
2016-01-09,448.309998,0.985,93,0.03,0.002
2016-01-10,446.190002,1,94,0.03,0.002
2016-01-11,447.720001,1.08,95,0.03,0.002
2016-01-12,445.040009,1.22,96,0.03,0.003
2016-01-13,432.179993,1.14,97,0.03,0.002
2016-01-14,429.130005,1.16,98,0.03,0.002
2016-01-15,372.26001,1.2,99,0.02,0.003
2016-01-16,385.040009,1.22,100,0.02,0.003
2016-01-17,382.470001,1.31,101,0.02,0.003
2016-01-18,384.399994,1.47,102,0.02,0.003
2016-01-19,379.459991,1.22,103,0.02,0.003
2016-01-20,414.579987,1.54,104,0.02,0.003
2016-01-21,410.23999,1.54,105,0.02,0.003
2016-01-22,382.649994,1.52,106,0.02,0.003
2016-01-23,388.609985,2.03,107,0.02,0.004
2016-01-24,402.130005,2.1,108,0.02,0.004
2016-01-25,392.76001,2.5,109,0.02,0.005
2016-01-26,389.779999,2.3,110,0.02,0.005
2016-01-27,395.019989,2.42,111,0.02,0.005
2016-01-28,379.690002,2.55,112,0.02,0.005
2016-01-29,380.290009,2.41,113,0.02,0.005
2016-01-30,377.76001,2.44,114,0.02,0.005
2016-01-31,369.839996,2.2,115,0.02,0.005
2016-02-01,372.179993,2.17,116,0.02,0.005
2016-02-02,373.920013,2.45,117,0.02,0.005
2016-02-03,368.019989,2.53,118,0.02,0.005
2016-02-04,390.649994,2.57,119,0.02,0.005
2016-02-05,386.459991,2.56,120,0.02,0.005
2016-02-06,376.679993,2.53,121,0.02,0.005
2016-02-07,377.940002,3,122,0.02,0.006
2016-02-08,372.630005,3.16,123,0.02,0.007
2016-02-09,375.320007,3.76,124,0.02,0.008
2016-02-10,381.880005,4.35,125,0.02,0.009
2016-02-11,379.450012,6.38,126,0.02,0.013
2016-02-12,384.040009,5.27,127,0.02,0.011
2016-02-13,390.100006,5.22,128,0.02,0.011
2016-02-14,405.5,5.2,129,0.02,0.011
2016-02-15,401.070007,5.22,130,0.02,0.011
2016-02-16,406.420013,4.25,131,0.02,0.009
2016-02-17,417.140015,3.86,132,0.02,0.008
2016-02-18,421.399994,4.36,133,0.03,0.009
2016-02-19,419.980011,4.45,134,0.02,0.009
2016-02-20,440.059998,4.37,135,0.03,0.009
2016-02-21,437.869995,4.63,136,0.03,0.010
2016-02-22,437.790009,5.6,137,0.03,0.012
2016-02-23,419.899994,5.7,138,0.02,0.012
2016-02-24,422.720001,6.23,139,0.03,0.013
2016-02-25,423.480011,5.93,140,0.03,0.012
2016-02-26,427.320007,6.03,141,0.03,0.013
2016-02-27,431.299988,6.31,142,0.03,0.013
2016-02-28,432.470001,6.5,143,0.03,0.014
2016-02-29,436.209991,6.35,144,0.03,0.013
2016-03-01,434.040009,7.59,145,0.03,0.016
2016-03-02,425.359985,8.7,146,0.03,0.018
2016-03-03,419.559998,9.35,147,0.02,0.020
2016-03-04,409.480011,9.96,148,0.02,0.021
2016-03-05,399,11,149,0.02,0.023
2016-03-06,405.959991,10.98,150,0.02,0.023
2016-03-07,414.869995,9.5,151,0.02,0.020
2016-03-08,411.899994,9.88,152,0.02,0.021
2016-03-09,412.76001,11.55,153,0.02,0.024
2016-03-10,415.829987,11.11,154,0.02,0.023
2016-03-11,419.109985,11.25,155,0.02,0.024
2016-03-12,410.359985,13.25,156,0.02,0.028
2016-03-13,412.410004,15,157,0.02,0.032
2016-03-14,414.309998,12.5,158,0.02,0.026
2016-03-15,415.130005,13.09,159,0.02,0.028
2016-03-16,415.910004,12.92,160,0.02,0.027
2016-03-17,418.160004,11.14,161,0.02,0.023
2016-03-18,408.160004,10.75,162,0.02,0.023
2016-03-19,408.690002,10.55,163,0.02,0.022
2016-03-20,411.529999,10.06,164,0.02,0.021
2016-03-21,411.109985,11.97,165,0.02,0.025
2016-03-22,416.209991,10.96,166,0.02,0.023
2016-03-23,416.980011,12.29,167,0.02,0.026
2016-03-24,414.73999,11.13,168,0.02,0.023
2016-03-25,415.709991,10.69,169,0.02,0.022
2016-03-26,416.51001,11,170,0.02,0.023
2016-03-27,424.570007,10.5,171,0.03,0.022
2016-03-27,422.209991,11.58,172,0.03,0.024
2016-03-28,415,11.73,173,0.02,0.025
2016-03-29,412.440002,11.88,174,0.02,0.025
2016-03-30,415.660004,11.41,175,0.02,0.024
2016-03-31,415.640015,11.63,176,0.02,0.024
2016-04-01,418.51001,11.61,177,0.02,0.024
2016-04-02,419.059998,11.58,178,0.02,0.024
2016-04-03,419.329987,11.1,179,0.02,0.023
2016-04-04,422.070007,10.39,180,0.03,0.022
2016-04-05,421.26001,10.79,181,0.03,0.023
2016-04-06,420.140015,10.08,182,0.02,0.021
2016-04-07,417.690002,9.74,183,0.02,0.020
2016-04-08,418.049988,9.16,184,0.02,0.019
2016-04-09,420.25,8.8,185,0.02,0.019
2016-04-10,421.429993,8.72,186,0.03,0.018
2016-04-11,424.73999,7.53,187,0.03,0.016
2016-04-12,423.470001,8.02,188,0.03,0.017
2016-04-13,424.019989,8.48,189,0.03,0.018
2016-04-14,428.670013,8.22,190,0.03,0.017
2016-04-15,430.049988,8.48,191,0.03,0.018
2016-04-16,426.26001,9.45,192,0.03,0.020
2016-04-17,427.690002,8.92,193,0.03,0.019
2016-04-18,434.920013,8.77,194,0.03,0.018
2016-04-19,441.160004,8.54,195,0.03,0.018
2016-04-20,449.339996,8.15,196,0.03,0.017
2016-04-21,445.279999,7.83,197,0.03,0.016
2016-04-22,450.079987,8.31,198,0.03,0.017
2016-04-23,457.559998,8,199,0.03,0.017
2016-04-24,461.730011,7.43,200,0.03,0.016
2016-04-25,466,7.5,201,0.03,0.016
2016-04-26,447.01001,7.77,202,0.03,0.016
2016-04-27,448.480011,7.3,203,0.03,0.015
2016-04-28,454.980011,7.51,204,0.03,0.016
2016-04-29,448.529999,8.83,205,0.03,0.019
2016-04-30,452.23999,8.76,206,0.03,0.018
2016-05-01,444.179993,10.03,207,0.03,0.021
2016-05-02,450.269989,9.37,208,0.03,0.020
2016-05-03,445.799988,9.43,209,0.03,0.020
2016-05-04,448.079987,9.79,210,0.03,0.021
2016-05-05,459.559998,9.27,211,0.03,0.020
2016-05-06,458.459991,9.3,212,0.03,0.020
2016-05-07,457.869995,9.44,213,0.03,0.020
2016-05-08,460.440002,9.32,214,0.03,0.020
2016-05-09,449.359985,9.39,215,0.03,0.020
2016-05-10,452.5,9.97,216,0.03,0.021
2016-05-11,454.429993,10.1,217,0.03,0.021
2016-05-12,455.410004,10.48,218,0.03,0.022
2016-05-13,456.440002,10.14,219,0.03,0.021
2016-05-14,458.109985,9.94,220,0.03,0.021
2016-05-15,454.869995,11.04,221,0.03,0.023
2016-05-16,453.25,12.26,222,0.03,0.026
2016-05-17,454.220001,13.29,223,0.03,0.028
2016-05-18,442.660004,14.49,224,0.03,0.030
2016-05-19,442.109985,13.73,225,0.03,0.029
2016-05-20,443.640015,13.95,226,0.03,0.029
2016-05-21,439.619995,14.21,227,0.03,0.030
