Year,m,d,Time,Time zone,maxtmp,mintmp
2019,1,1,00:00,UTC,4.2,0.1
2019,1,2,00:00,UTC,1.9,-6
2019,1,3,00:00,UTC,-5.8,-11.3
2019,1,4,00:00,UTC,1,-11.9
2019,1,5,00:00,UTC,-0.7,-5.6
2019,1,6,00:00,UTC,0.2,-7.3
2019,1,7,00:00,UTC,2.2,-0.3
2019,1,8,00:00,UTC,0.9,-0.9
2019,1,9,00:00,UTC,-0.3,-4.1
2019,1,10,00:00,UTC,-2.9,-5.7
2019,1,11,00:00,UTC,2.3,-3.6
2019,1,12,00:00,UTC,2,-3.3
2019,1,13,00:00,UTC,0.5,-6
2019,1,14,00:00,UTC,0.3,-4.4
2019,1,15,00:00,UTC,-4.4,-7.5
2019,1,16,00:00,UTC,-3.4,-8.1
2019,1,17,00:00,UTC,-1,-7.7
2019,1,18,00:00,UTC,-7.2,-10.7
2019,1,19,00:00,UTC,0.3,-12.1
2019,1,20,00:00,UTC,-0.2,-10.7
2019,1,21,00:00,UTC,-10.6,-16.9
2019,1,22,00:00,UTC,-10.4,-19.7
2019,1,23,00:00,UTC,0,-12.9
2019,1,24,00:00,UTC,-0.9,-12.3
2019,1,25,00:00,UTC,-2.5,-10.9
2019,1,26,00:00,UTC,-4.9,-10.4
2019,1,27,00:00,UTC,-10.1,-17.7
2019,1,28,00:00,UTC,-5.2,-17.9
2019,1,29,00:00,UTC,-4.1,-5.6
2019,1,30,00:00,UTC,0.6,-5.1
2019,1,31,00:00,UTC,-0.1,-5.6
2019,2,1,00:00,UTC,-1.5,-6.2
2019,2,2,00:00,UTC,-2.1,-4.7
2019,2,3,00:00,UTC,1.8,-3.1
2019,2,4,00:00,UTC,1.1,-5.9
2019,2,5,00:00,UTC,0.8,-6
2019,2,6,00:00,UTC,-0.2,-8.2
2019,2,7,00:00,UTC,1.5,-6.9
2019,2,8,00:00,UTC,2.1,0.2
2019,2,9,00:00,UTC,2.3,0.7
2019,2,10,00:00,UTC,3.3,0.1
2019,2,11,00:00,UTC,2.7,0.2
2019,2,12,00:00,UTC,0.6,-2.3
2019,2,13,00:00,UTC,0.9,-4
2019,2,14,00:00,UTC,2.9,0.4
2019,2,15,00:00,UTC,8.2,1.6
2019,2,16,00:00,UTC,4.1,0.4
2019,2,17,00:00,UTC,4.9,0.5
2019,2,18,00:00,UTC,2.3,-2.9
2019,2,19,00:00,UTC,2.2,1.2
2019,2,20,00:00,UTC,2.7,-3.8
2019,2,21,00:00,UTC,-3.3,-7.9
2019,2,22,00:00,UTC,-1.6,-10.7
2019,2,23,00:00,UTC,5.6,-4.2
2019,2,24,00:00,UTC,4.3,0.9
2019,2,25,00:00,UTC,8.3,4.1
2019,2,26,00:00,UTC,5.3,1.4
2019,2,27,00:00,UTC,5.8,-0.1
2019,2,28,00:00,UTC,5.2,-1.3
2019,3,1,00:00,UTC,-1.2,-7.2
2019,3,2,00:00,UTC,2.7,-5.2
2019,3,3,00:00,UTC,1.3,-7.8
2019,3,4,00:00,UTC,-1.3,-5.3
2019,3,5,00:00,UTC,-1.2,-7
2019,3,6,00:00,UTC,-2.7,-13.1
2019,3,7,00:00,UTC,0.4,-2.8
2019,3,8,00:00,UTC,3.9,0.4
2019,3,9,00:00,UTC,2.2,-2.1
2019,3,10,00:00,UTC,1.8,-2.4
2019,3,11,00:00,UTC,-2.1,-6.4
2019,3,12,00:00,UTC,-0.8,-8.8
2019,3,13,00:00,UTC,-0.3,-9.3
2019,3,14,00:00,UTC,1.9,-1.1
2019,3,15,00:00,UTC,2.6,0.7
2019,3,16,00:00,UTC,3.2,0.8
2019,3,17,00:00,UTC,2.2,0.2
2019,3,18,00:00,UTC,3.3,1.3
2019,3,19,00:00,UTC,3.3,1.1
2019,3,20,00:00,UTC,3,-0.4
2019,3,21,00:00,UTC,4.7,0.6
2019,3,22,00:00,UTC,7.4,1.3
2019,3,23,00:00,UTC,3.8,-0.1
2019,3,24,00:00,UTC,7,0.8
2019,3,25,00:00,UTC,5.5,-0.4
2019,3,26,00:00,UTC,3.4,-2.1
2019,3,27,00:00,UTC,2.3,-3.9
2019,3,28,00:00,UTC,6,-1.2
2019,3,29,00:00,UTC,7.4,2.4
2019,3,30,00:00,UTC,9.8,1.8
2019,3,31,00:00,UTC,5.3,2
2019,4,1,00:00,UTC,8,-0.1
2019,4,2,00:00,UTC,5,1.3
2019,4,3,00:00,UTC,7.1,-0.1
2019,4,4,00:00,UTC,7.2,2.9
2019,4,5,00:00,UTC,7.4,-1.1
2019,4,6,00:00,UTC,8.3,0.4
2019,4,7,00:00,UTC,8.8,0.2
2019,4,8,00:00,UTC,8.9,0.9
2019,4,9,00:00,UTC,2.8,0.8
2019,4,10,00:00,UTC,2.4,-1.4
2019,4,11,00:00,UTC,2.9,-3.1
2019,4,12,00:00,UTC,3.4,-3.6
2019,4,13,00:00,UTC,5.3,1.4
2019,4,14,00:00,UTC,7.2,2.5
2019,4,15,00:00,UTC,6.6,-0.7
2019,4,16,00:00,UTC,9.2,1.7
2019,4,17,00:00,UTC,6.3,1.8
2019,4,18,00:00,UTC,9.5,3.6
2019,4,19,00:00,UTC,16.8,2.9
2019,4,20,00:00,UTC,13.3,5.2
2019,4,21,00:00,UTC,8.8,4.4
2019,4,22,00:00,UTC,13,3.2
2019,4,23,00:00,UTC,16.7,5.5
2019,4,24,00:00,UTC,12.7,4.1
2019,4,25,00:00,UTC,15.7,6.6
2019,4,26,00:00,UTC,14.7,8.9
2019,4,27,00:00,UTC,14.5,8.9
2019,4,28,00:00,UTC,13.4,3.8
2019,4,29,00:00,UTC,6.4,1.2
2019,4,30,00:00,UTC,7.3,2.6
2019,5,1,00:00,UTC,12.2,3.2
2019,5,2,00:00,UTC,9.1,3.3
2019,5,3,00:00,UTC,4.7,0.4
2019,5,4,00:00,UTC,3.5,-0.4
2019,5,5,00:00,UTC,7.1,0.7
2019,5,6,00:00,UTC,7.3,3.5
2019,5,7,00:00,UTC,7.7,5
2019,5,8,00:00,UTC,10.2,4.7
2019,5,9,00:00,UTC,12.1,2.9
2019,5,10,00:00,UTC,11.5,7.1
2019,5,11,00:00,UTC,11.7,6.4
2019,5,12,00:00,UTC,11.8,5.1
2019,5,13,00:00,UTC,12.6,5
2019,5,14,00:00,UTC,12.9,6.6
2019,5,15,00:00,UTC,11.1,5.2
2019,5,16,00:00,UTC,13.6,5.8
2019,5,17,00:00,UTC,15,7.3
2019,5,18,00:00,UTC,17.8,9.1
2019,5,19,00:00,UTC,17.3,11.4
2019,5,20,00:00,UTC,19.3,13.1
2019,5,21,00:00,UTC,19.4,13.3
2019,5,22,00:00,UTC,17.7,14.5
2019,5,23,00:00,UTC,15.7,9.6
2019,5,24,00:00,UTC,10.8,8.6
2019,5,25,00:00,UTC,11.7,8.1
2019,5,26,00:00,UTC,11.7,8.2
2019,5,27,00:00,UTC,11.6,8.7
2019,5,28,00:00,UTC,12.8,8.6
2019,5,29,00:00,UTC,15.2,10.9
2019,5,30,00:00,UTC,14.6,7.7
2019,5,31,00:00,UTC,14.7,8.7
2019,6,1,00:00,UTC,15.1,9.2
2019,6,2,00:00,UTC,17.4,10.1
