a,b
-2,0.6
-1.96,0.529140649984
-1.92,0.465128255488
-1.88,0.407618138112
-1.84,0.356274671616
-1.8,0.3107712
-1.76,0.270789955584
-1.72,0.236021977088
-1.68,0.206167027712
-1.64,0.180933513216001
-1.6,0.160038400000001
-1.56,0.143207133184001
-1.52,0.130173554688001
-1.48,0.120679821312001
-1.44,0.114476322816001
-1.4,0.1113216
-1.36,0.110982262784001
-1.32,0.113232908288
-1.28,0.117856038912
-1.24,0.124641980416
-1.2,0.133388800000001
-1.16,0.143902224384
-1.12,0.155995557888
-1.08,0.169489600512
-1.04,0.184212566016
-1,0.2
-0.96,0.216694697984
-0.92,0.234146623488
-0.88,0.252212826112
-0.84,0.270757359616
-0.8,0.2896512
-0.76,0.308772163584
-0.72,0.328004825088
-0.68,0.347240435712
-0.64,0.366376841216
-0.6,0.3853184
-0.56,0.403975901184
-0.52,0.422266482688
-0.48,0.440113549312
-0.44,0.457446690816
-0.4,0.4742016
-0.36,0.490319990784
-0.32,0.505749516288
-0.28,0.520443686912
-0.24,0.534361788416
-0.2,0.5474688
-0.16,0.559735312384
-0.12,0.571137445888
-0.0800000000000001,0.581656768512
-0.04,0.591280214016
0,0.6
0.04,0.607813545984
0.0800000000000001,0.614723391488
0.12,0.620737114112
0.16,0.625867247616
0.2,0.6301312
0.24,0.633551171584
0.28,0.636154073088
0.32,0.637971443712
0.36,0.639039369216
0.4,0.6393984
0.44,0.639093469184
0.48,0.638173810688
0.52,0.636692877312
0.56,0.634708258816
0.6,0.6322816
0.64,0.629478518784
0.68,0.626368524288
0.72,0.623024934912
0.76,0.619524796416
0.8,0.6159488
0.84,0.612381200384
0.88,0.608909733888
0.92,0.605625536512
0.96,0.602623062016
1,0.6
1.04,0.597857193984
1.08,0.596298559488
1.12,0.595431002112
1.16,0.595364335616
1.2,0.5962112
1.24,0.598086979584
1.28,0.601109721088
1.32,0.605400051712
1.36,0.611081097216
1.4,0.6182784
1.44,0.627119837184
1.48,0.637735538688
1.52,0.650257805312
1.56,0.664821026816
1.6,0.6815616
1.64,0.700617846784
1.68,0.722129932288
1.72,0.746239782912
1.76,0.773091004416
1.8,0.8028288
1.84,0.835599888384
1.88,0.871552421888
1.92,0.910835904512
1.96,0.953601110016
2,1
