a,b
-2,3
-1.96,2.96
-1.92,2.92
-1.88,2.88
-1.84,2.84
-1.8,2.8
-1.76,2.76
-1.72,2.72
-1.68,2.68
-1.64,2.64
-1.6,2.6
-1.56,2.56
-1.52,2.52
-1.48,2.48
-1.44,2.44
-1.4,2.4
-1.36,2.36
-1.32,2.32
-1.28,2.28
-1.24,2.24
-1.2,2.2
-1.16,2.16
-1.12,2.12
-1.08,2.08
-1.04,2.04
-1,2
-0.96,1.96
-0.92,1.92
-0.88,1.88
-0.84,1.84
-0.8,1.8
-0.76,1.76
-0.72,1.72
-0.68,1.68
-0.64,1.64
-0.6,1.6
-0.56,1.56
-0.52,1.52
-0.48,1.48
-0.44,1.44
-0.4,1.4
-0.36,1.36
-0.32,1.32
-0.28,1.28
-0.24,1.24
-0.2,1.2
-0.16,1.16
-0.12,1.12
-0.0800000000000001,1.08
-0.04,1.04
0,1
0.04,0.96
0.0800000000000001,0.92
0.12,0.88
0.16,0.84
0.2,0.8
0.24,0.76
0.28,0.72
0.32,0.68
0.36,0.64
0.4,0.6
0.44,0.56
0.48,0.52
0.52,0.48
0.56,0.44
0.6,0.4
0.64,0.36
0.68,0.32
0.72,0.28
0.76,0.24
0.8,0.2
0.84,0.16
0.88,0.12
0.92,0.0800000000000001
0.96,0.04
1,0
1.04,0
1.08,0
1.12,0
1.16,0
1.2,0
1.24,0
1.28,0
1.32,0
1.36,0
1.4,0
1.44,0
1.48,0
1.52,0
1.56,0
1.6,0
1.64,0
1.68,0
1.72,0
1.76,0
1.8,0
1.84,0
1.88,0
1.92,0
1.96,0
2,0
