a,b
-2,4
-1.96,3.8416
-1.92,3.6864
-1.88,3.5344
-1.84,3.3856
-1.8,3.24
-1.76,3.0976
-1.72,2.9584
-1.68,2.8224
-1.64,2.6896
-1.6,2.56
-1.56,2.4336
-1.52,2.3104
-1.48,2.1904
-1.44,2.0736
-1.4,1.96
-1.36,1.8496
-1.32,1.7424
-1.28,1.6384
-1.24,1.5376
-1.2,1.44
-1.16,1.3456
-1.12,1.2544
-1.08,1.1664
-1.04,1.0816
-1,1
-0.96,0.9216
-0.92,0.8464
-0.88,0.7744
-0.84,0.7056
-0.8,0.64
-0.76,0.5776
-0.72,0.5184
-0.68,0.4624
-0.64,0.4096
-0.6,0.36
-0.56,0.3136
-0.52,0.2704
-0.48,0.2304
-0.44,0.1936
-0.4,0.16
-0.36,0.1296
-0.32,0.1024
-0.28,0.0784
-0.24,0.0576
-0.2,0.04
-0.16,0.0256
-0.12,0.0144
-0.0800000000000001,0.00640000000000001
-0.04,0.0016
0,0
0.04,0.0016
0.0800000000000001,0.00640000000000001
0.12,0.0144
0.16,0.0256
0.2,0.0400000000000001
0.24,0.0576000000000001
0.28,0.0783999999999999
0.32,0.1024
0.36,0.1296
0.4,0.16
0.44,0.1936
0.48,0.2304
0.52,0.2704
0.56,0.3136
0.6,0.36
0.64,0.4096
0.68,0.4624
0.72,0.5184
0.76,0.5776
0.8,0.64
0.84,0.7056
0.88,0.7744
0.92,0.8464
0.96,0.9216
1,1
1.04,1.0816
1.08,1.1664
1.12,1.2544
1.16,1.3456
1.2,1.44
1.24,1.5376
1.28,1.6384
1.32,1.7424
1.36,1.8496
1.4,1.96
1.44,2.0736
1.48,2.1904
1.52,2.3104
1.56,2.4336
1.6,2.56
1.64,2.6896
1.68,2.8224
1.72,2.9584
1.76,3.0976
1.8,3.24
1.84,3.3856
1.88,3.5344
1.92,3.6864
1.96,3.8416
2,4
