a,b
-2,1
-1.995995995996,1
-1.99199199199199,1
-1.98798798798799,1
-1.98398398398398,1
-1.97997997997998,1
-1.97597597597598,1
-1.97197197197197,1
-1.96796796796797,1
-1.96396396396396,1
-1.95995995995996,1
-1.95595595595596,1
-1.95195195195195,1
-1.94794794794795,1
-1.94394394394394,1
-1.93993993993994,1
-1.93593593593594,1
-1.93193193193193,1
-1.92792792792793,1
-1.92392392392392,1
-1.91991991991992,1
-1.91591591591592,1
-1.91191191191191,1
-1.90790790790791,1
-1.9039039039039,1
-1.8998998998999,1
-1.8958958958959,1
-1.89189189189189,1
-1.88788788788789,1
-1.88388388388388,1
-1.87987987987988,1
-1.87587587587588,1
-1.87187187187187,1
-1.86786786786787,1
-1.86386386386386,1
-1.85985985985986,1
-1.85585585585586,1
-1.85185185185185,1
-1.84784784784785,1
-1.84384384384384,1
-1.83983983983984,1
-1.83583583583584,1
-1.83183183183183,1
-1.82782782782783,1
-1.82382382382382,1
-1.81981981981982,1
-1.81581581581582,1
-1.81181181181181,1
-1.80780780780781,1
-1.8038038038038,1
-1.7997997997998,1
-1.7957957957958,1
-1.79179179179179,1
-1.78778778778779,1
-1.78378378378378,1
-1.77977977977978,1
-1.77577577577578,1
-1.77177177177177,1
-1.76776776776777,1
-1.76376376376376,1
-1.75975975975976,1
-1.75575575575576,1
-1.75175175175175,1
-1.74774774774775,1
-1.74374374374374,1
-1.73973973973974,1
-1.73573573573574,1
-1.73173173173173,1
-1.72772772772773,1
-1.72372372372372,1
-1.71971971971972,1
-1.71571571571572,1
-1.71171171171171,1
-1.70770770770771,1
-1.7037037037037,1
-1.6996996996997,1
-1.6956956956957,1
-1.69169169169169,1
-1.68768768768769,1
-1.68368368368368,1
-1.67967967967968,1
-1.67567567567568,1
-1.67167167167167,1
-1.66766766766767,1
-1.66366366366366,1
-1.65965965965966,1
-1.65565565565566,1
-1.65165165165165,1
-1.64764764764765,1
-1.64364364364364,1
-1.63963963963964,1
-1.63563563563564,1
-1.63163163163163,1
-1.62762762762763,1
-1.62362362362362,1
-1.61961961961962,1
-1.61561561561562,1
-1.61161161161161,1
-1.60760760760761,1
-1.6036036036036,1
-1.5995995995996,1
-1.5955955955956,1
-1.59159159159159,1
-1.58758758758759,1
-1.58358358358358,1
-1.57957957957958,1
-1.57557557557558,1
